Symbol	Ensembl_ID	Genename	Refseq_ID
CHRDL1	ENSG00000101938	chordin like 1	NM_001143981
SCG5	ENSG00000166922	secretogranin V	NM_001144757
PATE4	ENSG00000237353	prostate and testis expressed 4	NM_001144874
FNDC7	ENSG00000143107	fibronectin type III domain containing 7	NM_001144937
VMO1	ENSG00000182853	vitelline membrane outer layer 1 homolog	NM_001144939
SSC5D	ENSG00000179954	scavenger receptor cysteine rich family member with 5 domains	NM_001144950
MUC7	ENSG00000171195	"mucin 7, secreted"	NM_001145006
PLAU	ENSG00000122861	"plasminogen activator, urokinase"	NM_001145031
HHLA1	ENSG00000132297	HERV-H LTR-associating 1	NM_001145095
PRAP1	ENSG00000165828	proline rich acidic protein 1	NM_001145201
CFP	ENSG00000126759	complement factor properdin	NM_001145252
ADAMDEC1	ENSG00000134028	ADAM like decysin 1	NM_001145271
ADAMTSL2	ENSG00000197859	ADAMTS like 2	NM_001145320
GALP	ENSG00000197487	galanin like peptide	NM_001145546
MMP1	ENSG00000196611	matrix metallopeptidase 1	NM_001145938
ANGPT1	ENSG00000154188	angiopoietin 1	NM_001146
PODNL1	ENSG00000132000	podocan like 1	NM_001146254
REG4	ENSG00000134193	regenerating family member 4	NM_001159352
ZPBP	ENSG00000042813	zona pellucida binding protein	NM_001159878
LPO	ENSG00000167419	lactoperoxidase	NM_001160102
MGAT4A	ENSG00000071073	"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"	NM_001160154
WDR25	ENSG00000176473	WD repeat domain 25	NM_001161476
OTOA	ENSG00000155719	otoancorin	NM_001161683
C21orf62	ENSG00000205929	chromosome 21 open reading frame 62	NM_001162495
C17orf99	ENSG00000187997	chromosome 17 open reading frame 99	NM_001163075
CPA4	ENSG00000128510	carboxypeptidase A4	NM_001163446
COL11A2	ENSG00000204248	collagen type XI alpha 2 chain	NM_001163771
FAM180B	ENSG00000196666	family with sequence similarity 180 member B	NM_001164379
SCG3	ENSG00000104112	secretogranin III	NM_001165257
IDE	ENSG00000119912	insulin degrading enzyme	NM_001165946
SBSN	ENSG00000189001	suprabasin	NM_001166034
CLCF1	ENSG00000175505	cardiotrophin like cytokine factor 1	NM_001166212
CGREF1	ENSG00000138028	cell growth regulator with EF-hand domain 1	NM_001166239
HPSE2	ENSG00000172987	heparanase 2 (inactive)	NM_001166244
RGMA	ENSG00000182175	repulsive guidance molecule BMP co-receptor a	NM_001166283
SMOC2	ENSG00000112562	SPARC related modular calcium binding 2	NM_001166412
PGC	ENSG00000096088	progastricsin	NM_001166424
ITIH1	ENSG00000055957	inter-alpha-trypsin inhibitor heavy chain 1	NM_001166434
ITIH4	ENSG00000055955	inter-alpha-trypsin inhibitor heavy chain 4	NM_001166449
APOA5	ENSG00000110243	apolipoprotein A5	NM_001166598
CFHR3	ENSG00000116785	complement factor H related 3	NM_001166624
EGFL6	ENSG00000198759	EGF like domain multiple 6	NM_001167890
FREM3	ENSG00000183090	FRAS1 related extracellular matrix 3	NM_001168235
EDN1	ENSG00000078401	endothelin 1	NM_001168319
PLA2G7	ENSG00000146070	phospholipase A2 group VII	NM_001168357
PRSS35	ENSG00000146250	serine protease 35	NM_001170423
SCUBE2	ENSG00000175356	"signal peptide, CUB domain and EGF like domain containing 2"	NM_001170690
SRPX	ENSG00000101955	sushi repeat containing protein X-linked	NM_001170750
IL16	ENSG00000172349	interleukin 16	NM_001172128
SFTPC	ENSG00000168484	surfactant protein C	NM_001172357
LEFTY2	ENSG00000143768	left-right determination factor 2	NM_001172425
ENDOU	ENSG00000111405	"endonuclease, poly(U) specific"	NM_001172439
IL34	ENSG00000157368	interleukin 34	NM_001172771
TDGF1	ENSG00000241186	teratocarcinoma-derived growth factor 1	NM_001174136
LGALS3	ENSG00000131981	galectin 3	NM_001177388
AOAH	ENSG00000136250	acyloxyacyl hydrolase	NM_001177506
HABP2	ENSG00000148702	hyaluronan binding protein 2	NM_001177660
FREM1	ENSG00000164946	FRAS1 related extracellular matrix 1	NM_001177704
ADIPOQ	ENSG00000181092	"adiponectin, C1Q and collagen domain containing"	NM_001177800
VIT	ENSG00000205221	vitrin	NM_001177969
LOX	ENSG00000113083	lysyl oxidase	NM_001178102
IGLL5	ENSG00000254709	immunoglobulin lambda like polypeptide 5	NM_001178126
SEMA3E	ENSG00000170381	semaphorin 3E	NM_001178129
IGSF10	ENSG00000152580	immunoglobulin superfamily member 10	NM_001178145
MEPE	ENSG00000152595	matrix extracellular phosphoglycoprotein	NM_001184694
CPXM1	ENSG00000088882	"carboxypeptidase X, M14 family member 1"	NM_001184699
GHRH	ENSG00000118702	growth hormone releasing hormone	NM_001184731
FGB	ENSG00000171564	fibrinogen beta chain	NM_001184741
PSG1	ENSG00000231924	pregnancy specific beta-1-glycoprotein 1	NM_001184825
AZGP1	ENSG00000160862	"alpha-2-glycoprotein 1, zinc-binding"	NM_001185
IL24	ENSG00000162892	interleukin 24	NM_001185156
CES4A	ENSG00000172824	carboxylesterase 4A	NM_001190201
COL11A1	ENSG00000060718	collagen type XI alpha 1 chain	NM_001190709
PDYN	ENSG00000101327	prodynorphin	NM_001190892
CRISP3	ENSG00000096006	cysteine rich secretory protein 3	NM_001190986
GREM1	ENSG00000166923	"gremlin 1, DAN family BMP antagonist"	NM_001191322
ASPN	ENSG00000106819	asporin	NM_001193335
RETN	ENSG00000104918	resistin	NM_001193374
PINLYP	ENSG00000234465	phospholipase A2 inhibitor and LY6/PLAUR domain containing	NM_001193621
DHRS4L2	ENSG00000187630	dehydrogenase/reductase 4 like 2	NM_001193635
DEFB130B	ENSG00000233050	defensin beta 130B	NM_001195257
SPINK6	ENSG00000178172	serine peptidase inhibitor Kazal type 6	NM_001195290
LRCOL1	ENSG00000204583	leucine rich colipase like 1	NM_001195520
LYPD6	ENSG00000187123	LY6/PLAUR domain containing 6	NM_001195685
LY96	ENSG00000154589	lymphocyte antigen 96	NM_001195797
PRSS3	ENSG00000010438	serine protease 3	NM_001197097
ASGR1	ENSG00000141505	asialoglycoprotein receptor 1	NM_001197216
ECM2	ENSG00000106823	extracellular matrix protein 2	NM_001197295
DKKL1	ENSG00000104901	dickkopf like acrosomal protein 1	NM_001197301
TNFSF13	ENSG00000161955	TNF superfamily member 13	NM_001198622
MFAP4	ENSG00000166482	microfibril associated protein 4	NM_001198695
LIPF	ENSG00000182333	"lipase F, gastric type"	NM_001198828
EPPIN-WFDC6	ENSG00000249139	EPPIN-WFDC6 readthrough	NM_001198986
BMP1	ENSG00000168487	bone morphogenetic protein 1	NM_001199
PODN	ENSG00000174348	podocan	NM_001199080
LTF	ENSG00000012223	lactotransferrin	NM_001199149
IL33	ENSG00000137033	interleukin 33	NM_001199640
LYZL6	ENSG00000275722	lysozyme like 6	NM_001199951
BMP2	ENSG00000125845	bone morphogenetic protein 2	NM_001200
HYAL3	ENSG00000186792	hyaluronidase 3	NM_001200029
BMP3	ENSG00000152785	bone morphogenetic protein 3	NM_001201
CCL25	ENSG00000131142	C-C motif chemokine ligand 25	NM_001201359
PCSK2	ENSG00000125851	proprotein convertase subtilisin/kexin type 2	NM_001201528
CFHR4	ENSG00000134365	complement factor H related 4	NM_001201550
BMP4	ENSG00000125378	bone morphogenetic protein 4	NM_001202
MIA	ENSG00000261857	MIA SH3 domain containing	NM_001202553
ECM1	ENSG00000143369	extracellular matrix protein 1	NM_001202858
NBL1	ENSG00000158747	"NBL1, DAN family BMP antagonist"	NM_001204084
TNFSF15	ENSG00000181634	TNF superfamily member 15	NM_001204344
TINAGL1	ENSG00000142910	tubulointerstitial nephritis antigen like 1	NM_001204414
TLL1	ENSG00000038295	tolloid like 1	NM_001204760
CCN4	ENSG00000104415	cellular communication network factor 4	NM_001204869
DEFB4B	ENSG00000177257	defensin beta 4B	NM_001205266
EGFLAM	ENSG00000164318	"EGF like, fibronectin type III and laminin G domains"	NM_001205301
FGF8	ENSG00000107831	fibroblast growth factor 8	NM_001206389
CRTAC1	ENSG00000095713	cartilage acidic protein 1	NM_001206528
PSG7	ENSG00000221878	pregnancy specific beta-1-glycoprotein 7	NM_001206650
PLA1A	ENSG00000144837	phospholipase A1 member A	NM_001206960
ODAPH	ENSG00000174792	odontogenesis associated phosphoprotein	NM_001206981
IL21	ENSG00000138684	interleukin 21	NM_001207006
PGF	ENSG00000119630	placental growth factor	NM_001207012
KLK7	ENSG00000169035	kallikrein related peptidase 7	NM_001207053
C1QBP	ENSG00000108561	complement C1q binding protein	NM_001212
CA6	ENSG00000131686	carbonic anhydrase 6	NM_001215
CA11	ENSG00000063180	carbonic anhydrase 11	NM_001217
GFOD1	ENSG00000145990	glucose-fructose oxidoreductase domain containing 1	NM_001242628
DEFB131B	ENSG00000225805	defensin beta 131B	NM_001242853
PLTP	ENSG00000100979	phospholipid transfer protein	NM_001242920
EPDR1	ENSG00000086289	ependymin related 1	NM_001242946
BPIFA1	ENSG00000198183	BPI fold containing family A member 1	NM_001243193
IL18	ENSG00000150782	interleukin 18	NM_001243211
CCER2	ENSG00000262484	coiled-coil glutamate rich protein 2	NM_001243212
PRG2	ENSG00000186652	"proteoglycan 2, pro eosinophil major basic protein"	NM_001243245
GFOD2	ENSG00000141098	glucose-fructose oxidoreductase domain containing 2	NM_001243650
VEGFB	ENSG00000173511	vascular endothelial growth factor B	NM_001243733
FAM20A	ENSG00000108950	FAM20A golgi associated secretory pathway pseudokinase	NM_001243746
THNSL2	ENSG00000144115	threonine synthase like 2	NM_001244676
CLEC3A	ENSG00000166509	C-type lectin domain family 3 member A	NM_001244755
KRTDAP	ENSG00000188508	keratinocyte differentiation associated protein	NM_001244847
ENTPD5	ENSG00000187097	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	NM_001249
C4A	ENSG00000244731	complement C4A (Rodgers blood group)	NM_001252204
TAFA1	ENSG00000183662	TAFA chemokine like family member 1	NM_001252216
CLPS	ENSG00000137392	colipase	NM_001252597
THBS3	ENSG00000169231	thrombospondin 3	NM_001252607
LCN1	ENSG00000160349	lipocalin 1	NM_001252617
IGFBP7	ENSG00000163453	insulin like growth factor binding protein 7	NM_001253835
ADM2	ENSG00000128165	adrenomedullin 2	NM_001253845
CYB5D2	ENSG00000167740	cytochrome b5 domain containing 2	NM_001254755
COLEC11	ENSG00000118004	collectin subfamily member 11	NM_001255982
CTHRC1	ENSG00000164932	collagen triple helix repeat containing 1	NM_001256099
WNT5A	ENSG00000114251	Wnt family member 5A	NM_001256105
CHIT1	ENSG00000133063	chitinase 1	NM_001256125
PROZ	ENSG00000126231	"protein Z, vitamin K dependent plasma glycoprotein"	NM_001256134
APOM	ENSG00000204444	apolipoprotein M	NM_001256169
DNASE1L3	ENSG00000163687	deoxyribonuclease 1 like 3	NM_001256560
CLEC19A	ENSG00000261210	C-type lectin domain containing 19A	NM_001256720
LIF	ENSG00000128342	LIF interleukin 6 family cytokine	NM_001257135
IL4I1	ENSG00000104951	interleukin 4 induced 1	NM_001258017
TSKU	ENSG00000182704	"tsukushi, small leucine rich proteoglycan"	NM_001258210
PRSS36	ENSG00000178226	serine protease 36	NM_001258290
GZMM	ENSG00000197540	granzyme M	NM_001258351
SPATA20	ENSG00000006282	spermatogenesis associated 20	NM_001258372
PRB4	ENSG00000230657	proline rich protein BstNI subfamily 4	NM_001261399
CDSN	ENSG00000204539	corneodesmosin	NM_001264
INSL3	ENSG00000248099	insulin like 3	NM_001265587
CHAD	ENSG00000136457	chondroadherin	NM_001267
EMID1	ENSG00000186998	EMI domain containing 1	NM_001267895
CFC1	ENSG00000136698	"cripto, FRL-1, cryptic family 1"	NM_001270420
GZMH	ENSG00000100450	granzyme H	NM_001270780
TFPI2	ENSG00000105825	tissue factor pathway inhibitor 2	NM_001271003
DEFB119	ENSG00000180483	defensin beta 119	NM_001271209
SPINK2	ENSG00000128040	serine peptidase inhibitor Kazal type 2	NM_001271718
ITGBL1	ENSG00000198542	integrin subunit beta like 1	NM_001271754
PLA2G2D	ENSG00000117215	phospholipase A2 group IID	NM_001271814
SLIT3	ENSG00000184347	slit guidance ligand 3	NM_001271946
TSPEAR	ENSG00000175894	thrombospondin type laminin G domain and EAR repeats	NM_001272037
VWA2	ENSG00000165816	von Willebrand factor A domain containing 2	NM_001272046
CHI3L1	ENSG00000133048	chitinase 3 like 1	NM_001276
IFNL4	ENSG00000272395	interferon lambda 4 (gene/pseudogene)	NM_001276254
PSG4	ENSG00000243137	pregnancy specific beta-1-glycoprotein 4	NM_001276495
KLK15	ENSG00000174562	kallikrein related peptidase 15	NM_001277081
OTOG	ENSG00000188162	otogelin	NM_001277269
AOC3	ENSG00000131471	amine oxidase copper containing 3	NM_001277731
COL6A5	ENSG00000172752	collagen type VI alpha 5 chain	NM_001278298
C1QTNF5	ENSG00000223953	C1q and TNF related 5	NM_001278431
CHRDL2	ENSG00000054938	chordin like 2	NM_001278473
CPB2	ENSG00000080618	carboxypeptidase B2	NM_001278541
COL26A1	ENSG00000160963	collagen type XXVI alpha 1 chain	NM_001278563
IL36G	ENSG00000136688	interleukin 36 gamma	NM_001278568
EDIL3	ENSG00000164176	EGF like repeats and discoidin domains 3	NM_001278642
KLK8	ENSG00000129455	kallikrein related peptidase 8	NM_001281431
BTD	ENSG00000169814	biotinidase	NM_001281723
CST8	ENSG00000125815	cystatin 8	NM_001281730
RNASE4	ENSG00000258818	ribonuclease A family member 4	NM_001282192
ADA2	ENSG00000093072	adenosine deaminase 2	NM_001282225
ADAMTS10	ENSG00000142303	ADAM metallopeptidase with thrombospondin type 1 motif 10	NM_001282352
IMPG1	ENSG00000112706	interphotoreceptor matrix proteoglycan 1	NM_001282368
A2ML1	ENSG00000166535	alpha-2-macroglobulin like 1	NM_001282424
WFDC1	ENSG00000103175	WAP four-disulfide core domain 1	NM_001282466
OLFM1	ENSG00000130558	olfactomedin 1	NM_001282611
CCDC3	ENSG00000151468	coiled-coil domain containing 3	NM_001282658
OLFML2A	ENSG00000185585	olfactomedin like 2A	NM_001282715
RSPO2	ENSG00000147655	R-spondin 2	NM_001282863
PNOC	ENSG00000168081	prepronociceptin	NM_001284244
CLCA1	ENSG00000016490	chloride channel accessory 1	NM_001285
SMPDL3A	ENSG00000172594	sphingomyelin phosphodiesterase acid like 3A	NM_001286138
OLFML3	ENSG00000116774	olfactomedin like 3	NM_001286352
GLB1L	ENSG00000163521	galactosidase beta 1 like	NM_001286423
THSD4	ENSG00000187720	thrombospondin type 1 domain containing 4	NM_001286429
CLPSL2	ENSG00000196748	colipase like 2	NM_001286550
AMTN	ENSG00000187689	amelotin	NM_001286731
CRISPLD1	ENSG00000121005	cysteine rich secretory protein LCCL domain containing 1	NM_001286777
COL4A6	ENSG00000197565	collagen type IV alpha 6 chain	NM_001287758
ADAMTSL4	ENSG00000143382	ADAMTS like 4	NM_001288607
NELL1	ENSG00000165973	neural EGFL like 1	NM_001288713
OLFM3	ENSG00000118733	olfactomedin 3	NM_001288821
GDF9	ENSG00000164404	growth differentiation factor 9	NM_001288824
C18orf54	ENSG00000166845	chromosome 18 open reading frame 54	NM_001288980
OBP2B	ENSG00000171102	odorant binding protein 2B	NM_001288987
SERPINA4	ENSG00000100665	serpin family A member 4	NM_001289032
CLUL1	ENSG00000079101	clusterin like 1	NM_001289036
LOXL3	ENSG00000115318	lysyl oxidase like 3	NM_001289164
PCSK6	ENSG00000140479	proprotein convertase subtilisin/kexin type 6	NM_001291309
FAP	ENSG00000078098	fibroblast activation protein alpha	NM_001291807
FGF5	ENSG00000138675	fibroblast growth factor 5	NM_001291812
HMCN2	ENSG00000148357	hemicentin 2	NM_001291815
ERFE	ENSG00000178752	erythroferrone	NM_001291832
HSPG2	ENSG00000142798	heparan sulfate proteoglycan 2	NM_001291860
MAN2B2	ENSG00000013288	mannosidase alpha class 2B member 2	NM_001292038
NMU	ENSG00000109255	neuromedin U	NM_001292045
PRSS23	ENSG00000150687	serine protease 23	NM_001293178
OBP2A	ENSG00000122136	odorant binding protein 2A	NM_001293189
CEMIP	ENSG00000103888	cell migration inducing hyaluronidase 1	NM_001293298
COL8A2	ENSG00000171812	collagen type VIII alpha 2 chain	NM_001294347
HGFAC	ENSG00000109758	HGF activator	NM_001297439
APELA	ENSG00000248329	apelin receptor early endogenous ligand	NM_001297550
HTRA3	ENSG00000170801	HtrA serine peptidase 3	NM_001297559
C1RL	ENSG00000139178	complement C1r subcomponent like	NM_001297640
MFAP5	ENSG00000197614	microfibril associated protein 5	NM_001297709
OLFML2B	ENSG00000162745	olfactomedin like 2B	NM_001297713
FGF22	ENSG00000070388	fibroblast growth factor 22	NM_001300812
DCD	ENSG00000161634	dermcidin	NM_001300854
WNT8A	ENSG00000061492	Wnt family member 8A	NM_001300938
PPIA	ENSG00000196262	peptidylprolyl isomerase A	NM_001300981
VSTM2A	ENSG00000170419	V-set and transmembrane domain containing 2A	NM_001301009
C1orf54	ENSG00000118292	chromosome 1 open reading frame 54	NM_001301039
PCYOX1L	ENSG00000145882	prenylcysteine oxidase 1 like	NM_001301054
ADAMTSL3	ENSG00000156218	ADAMTS like 3	NM_001301110
DNASE1L2	ENSG00000167968	deoxyribonuclease 1 like 2	NM_001301680
CCL28	ENSG00000151882	C-C motif chemokine ligand 28	NM_001301873
CORT	ENSG00000241563	cortistatin	NM_001302
CXCL11	ENSG00000169248	C-X-C motif chemokine ligand 11	NM_001302123
EDN2	ENSG00000127129	endothelin 2	NM_001302269
GNLY	ENSG00000115523	granulysin	NM_001302758
CSN2	ENSG00000135222	casein beta	NM_001302770
OPRPN	ENSG00000171199	opiorphin prepropeptide	NM_001302807
EPPIN	ENSG00000101448	epididymal peptidase inhibitor	NM_001302861
KLK4	ENSG00000167749	kallikrein related peptidase 4	NM_001302961
LIPI	ENSG00000188992	lipase I	NM_001302998
COL4A1	ENSG00000187498	collagen type IV alpha 1 chain	NM_001303110
UCMA	ENSG00000165623	upper zone of growth plate and cartilage matrix associated	NM_001303118
PNLIPRP1	ENSG00000187021	pancreatic lipase related protein 1	NM_001303135
SCUBE3	ENSG00000146197	"signal peptide, CUB domain and EGF like domain containing 3"	NM_001303136
C1QTNF9	ENSG00000240654	C1q and TNF related 9	NM_001303137
PRSS2	ENSG00000275896	serine protease 2	NM_001303414
OLFM2	ENSG00000105088	olfactomedin 2	NM_001304347
MUC5AC	ENSG00000215182	"mucin 5AC, oligomeric mucus/gel-forming"	NM_001304359
LYZL4	ENSG00000157093	lysozyme like 4	NM_001304386
MMP8	ENSG00000118113	matrix metallopeptidase 8	NM_001304441
SERPINA12	ENSG00000165953	serpin family A member 12	NM_001304461
CHRD	ENSG00000090539	chordin	NM_001304472
FGF17	ENSG00000158815	fibroblast growth factor 17	NM_001304478
CCDC134	ENSG00000100147	coiled-coil domain containing 134	NM_001304797
GLIPR1L1	ENSG00000173401	GLIPR1 like 1	NM_001304964
RSPRY1	ENSG00000159579	ring finger and SPRY domain containing 1	NM_001305163
AGRN	ENSG00000188157	agrin	NM_001305275
FN1	ENSG00000115414	fibronectin 1	NM_001306129
THBS4	ENSG00000113296	thrombospondin 4	NM_001306212
CPN1	ENSG00000120054	carboxypeptidase N subunit 1	NM_001308
LIPG	ENSG00000101670	"lipase G, endothelial type"	NM_001308006
FETUB	ENSG00000090512	fetuin B	NM_001308077
CMA1	ENSG00000092009	chymase 1	NM_001308083
PRSS57	ENSG00000185198	serine protease 57	NM_001308209
C3orf33	ENSG00000174928	chromosome 3 open reading frame 33	NM_001308229
LGI1	ENSG00000108231	leucine rich glioma inactivated 1	NM_001308275
CLEC3B	ENSG00000163815	C-type lectin domain family 3 member B	NM_001308394
ERVH48-1	ENSG00000233056	"endogenous retrovirus group 48 member 1, envelope"	NM_001308491
SPARC	ENSG00000113140	secreted protein acidic and cysteine rich	NM_001309443
GNRH2	ENSG00000125787	gonadotropin releasing hormone 2	NM_001310220
KLK14	ENSG00000129437	kallikrein related peptidase 14	NM_001311182
RLN3	ENSG00000171136	relaxin 3	NM_001311197
CFHR2	ENSG00000080910	complement factor H related 2	NM_001312672
HMGB1	ENSG00000189403	high mobility group box 1	NM_001313892
PLAC1	ENSG00000170965	placenta enriched 1	NM_001316887
CSH1	ENSG00000136488	chorionic somatomammotropin hormone 1	NM_001317
C5	ENSG00000106804	complement C5	NM_001317163
BRINP3	ENSG00000162670	BMP/retinoic acid inducible neural specific 3	NM_001317188
CTSB	ENSG00000164733	cathepsin B	NM_001317237
CFD	ENSG00000197766	complement factor D	NM_001317335
MATN2	ENSG00000132561	matrilin 2	NM_001317748
IL17B	ENSG00000127743	interleukin 17B	NM_001317987
CSHL1	ENSG00000204414	chorionic somatomammotropin hormone like 1	NM_001318
LAMB4	ENSG00000091128	laminin subunit beta 4	NM_001318046
PLA2G12B	ENSG00000138308	phospholipase A2 group XIIB	NM_001318124
PRSS27	ENSG00000172382	serine protease 27	NM_001318395
COL21A1	ENSG00000124749	collagen type XXI alpha 1 chain	NM_001318751
ADAMTS9	ENSG00000163638	ADAM metallopeptidase with thrombospondin type 1 motif 9	NM_001318781
SEMA3F	ENSG00000001617	semaphorin 3F	NM_001318798
GATD1	ENSG00000177225	glutamine amidotransferase class 1 domain containing 1	NM_001318818
CGB2	ENSG00000104818	chorionic gonadotropin subunit beta 2	NM_001319065
OSM	ENSG00000099985	oncostatin M	NM_001319108
BPIFA2	ENSG00000131050	BPI fold containing family A member 2	NM_001319164
RNPEP	ENSG00000176393	arginyl aminopeptidase	NM_001319182
S100A8	ENSG00000143546	S100 calcium binding protein A8	NM_001319196
PPY	ENSG00000108849	pancreatic polypeptide	NM_001319209
KAZALD1	ENSG00000107821	Kazal type serine peptidase inhibitor domain 1	NM_001319303
NPFF	ENSG00000139574	neuropeptide FF-amide peptide precursor	NM_001320296
WNT9B	ENSG00000158955	Wnt family member 9B	NM_001320458
DMBT1	ENSG00000187908	deleted in malignant brain tumors 1	NM_001320644
SRGN	ENSG00000122862	serglycin	NM_001321053
APOC1	ENSG00000130208	apolipoprotein C1	NM_001321065
PTN	ENSG00000105894	pleiotrophin	NM_001321386
ANGPTL6	ENSG00000130812	angiopoietin like 6	NM_001321411
FBN3	ENSG00000142449	fibrillin 3	NM_001321431
CST2	ENSG00000170369	cystatin SA	NM_001322
ANGPT4	ENSG00000101280	angiopoietin 4	NM_001322809
CST6	ENSG00000175315	cystatin E/M	NM_001323
TGM2	ENSG00000198959	transglutaminase 2	NM_001323316
CCN5	ENSG00000064205	cellular communication network factor 5	NM_001323369
RBP4	ENSG00000138207	retinol binding protein 4	NM_001323517
COLEC10	ENSG00000184374	collectin subfamily member 10	NM_001324095
PI15	ENSG00000137558	peptidase inhibitor 15	NM_001324403
ADAMTS12	ENSG00000151388	ADAM metallopeptidase with thrombospondin type 1 motif 12	NM_001324511
ADAMTS18	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif 18	NM_001326358
TNR	ENSG00000116147	tenascin R	NM_001328635
CTRB1	ENSG00000168925	chymotrypsinogen B1	NM_001329190
RLN2	ENSG00000107014	relaxin 2	NM_001329191
ZBED3	ENSG00000132846	zinc finger BED-type containing 3	NM_001329564
SCRG1	ENSG00000164106	stimulator of chondrogenesis 1	NM_001329597
NTN4	ENSG00000074527	netrin 4	NM_001329700
BMP5	ENSG00000112175	bone morphogenetic protein 5	NM_001329754
GPX3	ENSG00000211445	glutathione peroxidase 3	NM_001329790
SERPINF1	ENSG00000132386	serpin family F member 1	NM_001329903
NODAL	ENSG00000156574	nodal growth differentiation factor	NM_001329906
TGFB3	ENSG00000119699	transforming growth factor beta 3	NM_001329938
LGALS9	ENSG00000168961	galectin 9	NM_001330163
NUCB2	ENSG00000070081	nucleobindin 2	NM_001330227
IFI35	ENSG00000068079	interferon induced protein 35	NM_001330230
GLDN	ENSG00000186417	gliomedin	NM_001330297
WFIKKN2	ENSG00000173714	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"	NM_001330341
C22orf15	ENSG00000169314	chromosome 22 open reading frame 15	NM_001331041
LCN8	ENSG00000204001	lipocalin 8	NM_001345934
GZMB	ENSG00000100453	granzyme B	NM_001346011
CNTN2	ENSG00000184144	contactin 2	NM_001346083
C1S	ENSG00000182326	complement C1s	NM_001346850
IFNL3	ENSG00000197110	interferon lambda 3	NM_001346937
C1QA	ENSG00000173372	complement C1q A chain	NM_001347465
CD5L	ENSG00000073754	CD5 molecule like	NM_001347698
MAMDC2	ENSG00000165072	MAM domain containing 2	NM_001347990
KLK13	ENSG00000167759	kallikrein related peptidase 13	NM_001348177
NRN1L	ENSG00000188038	neuritin 1 like	NM_001348682
ABI3BP	ENSG00000154175	ABI family member 3 binding protein	NM_001349329
PIBF1	ENSG00000083535	progesterone immunomodulatory binding factor 1	NM_001349655
COL24A1	ENSG00000171502	collagen type XXIV alpha 1 chain	NM_001349955
SEMA3C	ENSG00000075223	semaphorin 3C	NM_001350120
FTCDNL1	ENSG00000226124	formiminotransferase cyclodeaminase N-terminal like	NM_001350853
DNASE1	ENSG00000213918	deoxyribonuclease 1	NM_001351825
SMIM31	ENSG00000248771	small integral membrane protein 31	NM_001352885
OVCH1	ENSG00000187950	ovochymase 1	NM_001353179
ST6GAL1	ENSG00000073849	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"	NM_001353916
ARSJ	ENSG00000180801	arylsulfatase family member J	NM_001354210
AHSG	ENSG00000145192	alpha 2-HS glycoprotein	NM_001354571
EDDM13	ENSG00000267710	epididymal protein 13	NM_001354658
SPINK1	ENSG00000164266	serine peptidase inhibitor Kazal type 1	NM_001354966
IL13	ENSG00000169194	interleukin 13	NM_001354991
SLURP2	ENSG00000283992	secreted LY6/PLAUR domain containing 2	NM_001356372
FGF2	ENSG00000138685	fibroblast growth factor 2	NM_001361665
THEM6	ENSG00000130193	thioesterase superfamily member 6	NM_001363000
PEBP4	ENSG00000134020	phosphatidylethanolamine binding protein 4	NM_001363233
PF4	ENSG00000163737	platelet factor 4	NM_001363352
C10orf95	ENSG00000120055	chromosome 10 open reading frame 95	NM_001363580
NPC2	ENSG00000119655	NPC intracellular cholesterol transporter 2	NM_001363688
NOTCH2NLA	ENSG00000264343	notch 2 N-terminal like A	NM_001364006
NOTCH2NLB	ENSG00000286019	notch 2 N-terminal like B	NM_001364007
NOTCH2NLC	ENSG00000286219	notch 2 N-terminal like C	NM_001364012
TNXB	ENSG00000168477	tenascin XB	NM_001365276
BMPER	ENSG00000164619	BMP binding endothelial regulator	NM_001365308
C1QTNF6	ENSG00000133466	C1q and TNF related 6	NM_001365878
PAPLN	ENSG00000100767	"papilin, proteoglycan like sulfated glycoprotein"	NM_001365906
C1QTNF2	ENSG00000145861	C1q and TNF related 2	NM_001366504
GLT1D1	ENSG00000151948	glycosyltransferase 1 domain containing 1	NM_001366886
ADAMTSL5	ENSG00000185761	ADAMTS like 5	NM_001367197
PRB1	ENSG00000251655	proline rich protein BstNI subfamily 1	NM_001367912
OVCH2	ENSG00000183378	ovochymase 2	NM_001367963
B3GAT1	ENSG00000109956	"beta-1,3-glucuronyltransferase 1"	NM_001367973
OTOGL	ENSG00000165899	otogelin like	NM_001368062
ENAM	ENSG00000132464	enamelin	NM_001368133
OOSP4B	ENSG00000255393	oocyte secreted protein family member 4B	NM_001368161
HTN1	ENSG00000126550	histatin 1	NM_001368990
IL19	ENSG00000142224	interleukin 19	NM_001369605
FAM180A	ENSG00000189320	family with sequence similarity 180 member A	NM_001369697
IGLL1	ENSG00000128322	immunoglobulin lambda like polypeptide 1	NM_001369906
KLK12	ENSG00000186474	kallikrein related peptidase 12	NM_001370125
GLB1L2	ENSG00000149328	galactosidase beta 1 like 2	NM_001370460
OLFML1	ENSG00000183801	olfactomedin like 1	NM_001370498
CCL24	ENSG00000106178	C-C motif chemokine ligand 24	NM_001371193
