SYMBOL	ENSEMBL	GENENAME	REFSEQ
Gdnf	ENSMUSG00000022144	glial cell line derived neurotrophic factor	NM_001301332
Apod	ENSMUSG00000022548	apolipoprotein D	NM_001301353
Fst	ENSMUSG00000021765	follistatin	NM_001301373
Adamtsl4	ENSMUSG00000015850	ADAMTS-like 4	NM_001301705
Cbln2	ENSMUSG00000024647	cerebellin 2 precursor protein	NM_001302356
Gzmm	ENSMUSG00000054206	granzyme M (lymphocyte met-ase 1)	NM_001302485
Zbed3	ENSMUSG00000041995	"zinc finger, BED type containing 3"	NM_001302538
Il12b	ENSMUSG00000004296	interleukin 12b	NM_001303244
Ambn	ENSMUSG00000029288	ameloblastin	NM_001303431
Apoa2	ENSMUSG00000005681	apolipoprotein A-II	NM_001305549
F9	ENSMUSG00000031138	coagulation factor IX	NM_001305797
Apoe	ENSMUSG00000002985	apolipoprotein E	NM_001305819
Itih1	ENSMUSG00000006529	"inter-alpha trypsin inhibitor, heavy chain 1"	NM_001306078
Mmp11	ENSMUSG00000000901	matrix metallopeptidase 11	NM_001306184
Hhipl2	ENSMUSG00000053461	hedgehog interacting protein-like 2	NM_001308052
Vegfd	ENSMUSG00000031380	vascular endothelial growth factor D	NM_001308489
Clcf1	ENSMUSG00000040663	cardiotrophin-like cytokine factor 1	NM_001310038
Reln	ENSMUSG00000042453	reelin	NM_001310464
Prss54	ENSMUSG00000048400	"protease, serine 54"	NM_001310539
Lgi2	ENSMUSG00000039252	"leucine-rich repeat LGI family, member 2"	NM_001310604
Crispld2	ENSMUSG00000031825	cysteine-rich secretory protein LCCL domain containing 2	NM_001310635
Vwc2l	ENSMUSG00000045648	von Willebrand factor C domain-containing protein 2-like	NM_001310658
Igfbp2	ENSMUSG00000039323	insulin-like growth factor binding protein 2	NM_001310659
Bmp3	ENSMUSG00000029335	bone morphogenetic protein 3	NM_001310677
Scg2	ENSMUSG00000050711	secretogranin II	NM_001310680
B3gat1	ENSMUSG00000045994	"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)"	NM_001310766
Glb1l2	ENSMUSG00000036395	"galactosidase, beta 1-like 2"	NM_001310768
Tac1	ENSMUSG00000061762	tachykinin 1	NM_001311060
Il20	ENSMUSG00000026416	interleukin 20	NM_001311091
Ccdc126	ENSMUSG00000050786	coiled-coil domain containing 126	NM_001311112
Sema3f	ENSMUSG00000034684	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"	NM_001311151
Epo	ENSMUSG00000029711	erythropoietin	NM_001312875
Gdf7	ENSMUSG00000037660	growth differentiation factor 7	NM_001312876
Ihh	ENSMUSG00000006538	Indian hedgehog	NM_001313683
Il7	ENSMUSG00000040329	interleukin 7	NM_001313888
Hmgb1	ENSMUSG00000066551	high mobility group box 1	NM_001313894
Thbs1	ENSMUSG00000040152	thrombospondin 1	NM_001313914
Vip	ENSMUSG00000019772	vasoactive intestinal polypeptide	NM_001313969
Colec11	ENSMUSG00000036655	collectin sub-family member 11	NM_001313978
Adcyap1	ENSMUSG00000024256	adenylate cyclase activating polypeptide 1	NM_001315503
Bmp4	ENSMUSG00000021835	bone morphogenetic protein 4	NM_001316360
C8b	ENSMUSG00000029656	"complement component 8, beta polypeptide"	NM_001316671
Qpct	ENSMUSG00000024084	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	NM_001316729
Clps	ENSMUSG00000024225	"colipase, pancreatic"	NM_001317065
Fgg	ENSMUSG00000033860	fibrinogen gamma chain	NM_001317105
Col5a3	ENSMUSG00000004098	"collagen, type V, alpha 3"	NM_001317388
Col11a2	ENSMUSG00000024330	"collagen, type XI, alpha 2"	NM_001317722
Col24a1	ENSMUSG00000028197	"collagen, type XXIV, alpha 1"	NM_001317733
Mmp7	ENSMUSG00000018623	matrix metallopeptidase 7	NM_001319986
Mmp12	ENSMUSG00000049723	matrix metallopeptidase 12	NM_001320076
Mmp21	ENSMUSG00000030981	matrix metallopeptidase 21	NM_001320216
Mmp28	ENSMUSG00000020682	matrix metallopeptidase 28 (epilysin)	NM_001320300
Klk1	ENSMUSG00000063903	kallikrein 1	NM_001320331
Klk8	ENSMUSG00000064023	kallikrein related-peptidase 8	NM_001324398
Lipc	ENSMUSG00000032207	"lipase, hepatic"	NM_001324472
Adamts8	ENSMUSG00000031994	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8"	NM_001326292
Ccdc134	ENSMUSG00000068114	coiled-coil domain containing 134	NM_001326588
Tgfb2	ENSMUSG00000039239	"transforming growth factor, beta 2"	NM_001329107
Adamts10	ENSMUSG00000024299	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10"	NM_001329143
Gpx1	ENSMUSG00000063856	glutathione peroxidase 1	NM_001329527
Cfi	ENSMUSG00000058952	complement component factor i	NM_001329552
Gal	ENSMUSG00000024907	galanin and GMAP prepropeptide	NM_001329667
Ghrh	ENSMUSG00000027643	growth hormone releasing hormone	NM_001329683
Inha	ENSMUSG00000032968	inhibin alpha	NM_001329843
Habp2	ENSMUSG00000025075	hyaluronic acid binding protein 2	NM_001329935
Hp	ENSMUSG00000031722	haptoglobin	NM_001329965
Muc6	ENSMUSG00000118661	"mucin 6, gastric"	NM_001330001
Fuca2	ENSMUSG00000019810	"fucosidase, alpha-L- 2, plasma"	NM_001330198
Gdf15	ENSMUSG00000038508	growth differentiation factor 15	NM_001330687
Serpind1	ENSMUSG00000022766	"serine (or cysteine) peptidase inhibitor, clade D, member 1"	NM_001331047
Hdgf	ENSMUSG00000004897	heparin binding growth factor	NM_001331051
Hyal1	ENSMUSG00000010051	hyaluronoglucosaminidase 1	NM_001331161
Ltbp1	ENSMUSG00000001870	latent transforming growth factor beta binding protein 1	NM_001331233
Ucn	ENSMUSG00000038676	urocortin	NM_001346010
Col26a1	ENSMUSG00000004415	"collagen, type XXVI, alpha 1"	NM_001346699
Pyy	ENSMUSG00000017311	peptide YY	NM_001346771
Oc90	ENSMUSG00000015001	otoconin 90	NM_001347038
Fbln1	ENSMUSG00000006369	fibulin 1	NM_001347088
Rarres2	ENSMUSG00000009281	retinoic acid receptor responder (tazarotene induced) 2	NM_001347167
Col6a2	ENSMUSG00000020241	"collagen, type VI, alpha 2"	NM_001347207
Pla2g2d	ENSMUSG00000041202	"phospholipase A2, group IID"	NM_001347230
Vwa7	ENSMUSG00000007030	von Willebrand factor A domain containing 7	NM_001347347
Mfap5	ENSMUSG00000030116	microfibrillar associated protein 5	NM_001347434
Lama3	ENSMUSG00000024421	"laminin, alpha 3"	NM_001347461
Mfap4	ENSMUSG00000042436	microfibrillar-associated protein 4	NM_001347545
Npb	ENSMUSG00000044034	neuropeptide B	NM_001347616
Dmbt1	ENSMUSG00000047517	deleted in malignant brain tumors 1	NM_001347632
Mxra7	ENSMUSG00000020814	matrix-remodelling associated 7	NM_001347633
Apoa5	ENSMUSG00000032079	apolipoprotein A-V	NM_001348095
Smim31	ENSMUSG00000074300	small integral membrane protein 31	NM_001352886
Cr1l	ENSMUSG00000016481	complement component (3b/4b) receptor 1-like	NM_001355060
Timp4	ENSMUSG00000030317	tissue inhibitor of metalloproteinase 4	NM_001356406
Lyzl6	ENSMUSG00000020945	lysozyme-like 6	NM_001356472
Bpi	ENSMUSG00000052922	bactericidal permeablility increasing protein	NM_001356542
Crispld1	ENSMUSG00000025776	cysteine-rich secretory protein LCCL domain containing 1	NM_001356551
Csn3	ENSMUSG00000001622	casein kappa	NM_001356570
Pla2g1b	ENSMUSG00000029522	"phospholipase A2, group IB, pancreas"	NM_001356586
Crtac1	ENSMUSG00000042401	cartilage acidic protein 1	NM_001356588
Ccl24	ENSMUSG00000004814	chemokine (C-C motif) ligand 24	NM_001356630
Dnase1	ENSMUSG00000005980	deoxyribonuclease I	NM_001357143
Proz	ENSMUSG00000031445	"protein Z, vitamin K-dependent plasma glycoprotein"	NM_001357219
Il18	ENSMUSG00000039217	interleukin 18	NM_001357221
Spaca7	ENSMUSG00000010435	sperm acrosome associated 7	NM_001357297
Emilin2	ENSMUSG00000024053	elastin microfibril interfacer 2	NM_001357336
Lyzl4	ENSMUSG00000032530	lysozyme-like 4	NM_001357346
Pdgfd	ENSMUSG00000032006	"platelet-derived growth factor, D polypeptide"	NM_001357397
Pm20d1	ENSMUSG00000042251	peptidase M20 domain containing 1	NM_001357478
Saa2	ENSMUSG00000057465	serum amyloid A 2	NM_001357491
Saa1	ENSMUSG00000074115	serum amyloid A 1	NM_001357493
Serpini1	ENSMUSG00000027834	"serine (or cysteine) peptidase inhibitor, clade I, member 1"	NM_001357514
Olfm2	ENSMUSG00000032172	olfactomedin 2	NM_001357635
Pdgfc	ENSMUSG00000028019	"platelet-derived growth factor, C polypeptide"	NM_001357746
Plac1	ENSMUSG00000061082	placental specific protein 1	NM_001357802
Rspo2	ENSMUSG00000051920	R-spondin 2	NM_001357956
Matn2	ENSMUSG00000022324	matrilin 2	NM_001358780
Srgn	ENSMUSG00000020077	serglycin	NM_001358965
Dmp1	ENSMUSG00000029307	dentin matrix protein 1	NM_001359013
Sparcl1	ENSMUSG00000029309	SPARC-like 1	NM_001359014
Masp1	ENSMUSG00000022887	mannan-binding lectin serine peptidase 1	NM_001359083
Rspry1	ENSMUSG00000050079	ring finger and SPRY domain containing 1	NM_001359093
Fam20c	ENSMUSG00000025854	"FAM20C, golgi associated secretory pathway kinase"	NM_001359593
Bmp1	ENSMUSG00000022098	bone morphogenetic protein 1	NM_001360021
Il16	ENSMUSG00000001741	interleukin 16	NM_001360087
Fgf17	ENSMUSG00000022101	fibroblast growth factor 17	NM_001360108
Rnase6	ENSMUSG00000021880	"ribonuclease, RNase A family, 6"	NM_001360117
Dkk3	ENSMUSG00000030772	dickkopf WNT signaling pathway inhibitor 3	NM_001360257
Omd	ENSMUSG00000048368	osteomodulin	NM_001360708
Prss23	ENSMUSG00000039405	"protease, serine 23"	NM_001360752
Arsk	ENSMUSG00000021592	arylsulfatase K	NM_001360843
Acan	ENSMUSG00000030607	aggrecan	NM_001361500
Serpina9	ENSMUSG00000058260	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9"	NM_001361910
Fbln5	ENSMUSG00000021186	fibulin 5	NM_001361987
Cstl1	ENSMUSG00000055177	cystatin-like 1	NM_001362207
Kazald1	ENSMUSG00000025213	Kazal-type serine peptidase inhibitor domain 1	NM_001362397
Pdgfa	ENSMUSG00000025856	"platelet derived growth factor, alpha"	NM_001363271
Hmgb2	ENSMUSG00000054717	high mobility group box 2	NM_001363443
Wnt7a	ENSMUSG00000030093	"wingless-type MMTV integration site family, member 7A"	NM_001363757
Pon3	ENSMUSG00000029759	paraoxonase 3	NM_001363812
Il18bp	ENSMUSG00000070427	interleukin 18 binding protein	NM_001363982
Cilp	ENSMUSG00000042254	"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"	NM_001364527
Cthrc1	ENSMUSG00000054196	collagen triple helix repeat containing 1	NM_001364812
Mbl2	ENSMUSG00000024863	mannose-binding lectin (protein C) 2	NM_001365058
Srpx	ENSMUSG00000090084	sushi-repeat-containing protein	NM_001365087
Gfod2	ENSMUSG00000013150	glucose-fructose oxidoreductase domain containing 2	NM_001368385
C9	ENSMUSG00000022149	complement component 9	NM_001368420
Col14a1	ENSMUSG00000022371	"collagen, type XIV, alpha 1"	NM_001368422
Adamtsl1	ENSMUSG00000066113	ADAMTS-like 1	NM_001368621
Aimp1	ENSMUSG00000028029	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	NM_001368626
Fgf22	ENSMUSG00000020327	fibroblast growth factor 22	NM_001368662
Agrn	ENSMUSG00000041936	agrin	NM_001369026
Tnc	ENSMUSG00000028364	tenascin C	NM_001369211
Tor2a	ENSMUSG00000009563	"torsin family 2, member A"	NM_001369222
Ltbp2	ENSMUSG00000002020	latent transforming growth factor beta binding protein 2	NM_001370743
Ankdd1a	ENSMUSG00000066510	ankyrin repeat and death domain containing 1A	NM_001370871
Hmcn2	ENSMUSG00000055632	hemicentin 2	NM_001370902
Emid1	ENSMUSG00000034164	EMI domain containing 1	NM_001371000
Ly6g5b	ENSMUSG00000043807	"lymphocyte antigen 6 complex, locus G5B"	NM_001371035
Cnbd1	ENSMUSG00000073991	cyclic nucleotide binding domain containing 1	NM_001371269
Cfhr3	NA	complement factor H-related 3	NM_001374101
Btd	ENSMUSG00000021900	biotinidase	NM_001374217
Wfdc2	ENSMUSG00000017723	WAP four-disulfide core domain 2	NM_001374655
Scgb2a2	ENSMUSG00000096872	"secretoglobin, family 2A, member 2"	NM_001378410
Col9a3	ENSMUSG00000027570	"collagen, type IX, alpha 3"	NM_001378777
Crlf1	ENSMUSG00000007888	cytokine receptor-like factor 1	NM_001378799
Gfer	ENSMUSG00000040888	"growth factor, augmenter of liver regeneration"	NM_001379038
Serpinc1	ENSMUSG00000026715	"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1"	NM_001379302
Epyc	ENSMUSG00000019936	epiphycan	NM_001379456
Bpifb3	ENSMUSG00000068008	"BPI fold containing family B, member 3"	NM_001379473
Tfpi2	ENSMUSG00000029664	tissue factor pathway inhibitor 2	NM_001381907
Llcfc1	ENSMUSG00000029867	LLLL and CFNLAS motif containing 1	NM_001381952
Notum	ENSMUSG00000042988	notum palmitoleoyl-protein carboxylesterase	NM_001382269
Serpina7	ENSMUSG00000031271	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7"	NM_001382371
Clec18a	ENSMUSG00000033633	"C-type lectin domain family 18, member A"	NM_001402947
Egfl8	ENSMUSG00000015467	EGF-like domain 8	NM_001403845
Adamts18	ENSMUSG00000053399	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18"	NM_001403922
Olfml2b	ENSMUSG00000038463	olfactomedin-like 2B	NM_001404301
Col16a1	ENSMUSG00000040690	"collagen, type XVI, alpha 1"	NM_001404352
Acrv1	ENSMUSG00000032110	acrosomal vesicle protein 1	NM_001409573
Anxa2	ENSMUSG00000032231	annexin A2	NM_001409577
Naxe	ENSMUSG00000028070	NAD(P)HX epimerase	NM_001409767
Pon1	ENSMUSG00000002588	paraoxonase 1	NM_001410259
Ptn	ENSMUSG00000029838	pleiotrophin	NM_001410273
S100a13	ENSMUSG00000042312	S100 calcium binding protein A13	NM_001410528
S100a4	ENSMUSG00000001020	S100 calcium binding protein A4	NM_001410571
Lamb2	ENSMUSG00000052911	"laminin, beta 2"	NM_001411228
She	ENSMUSG00000046280	src homology 2 domain-containing transforming protein E	NM_001411269
Tnfrsf11b	ENSMUSG00000063727	"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)"	NM_001411506
Pdgfb	ENSMUSG00000000489	"platelet derived growth factor, B polypeptide"	NM_001411619
F11	ENSMUSG00000031645	coagulation factor XI	NM_001411665
Bgn	ENSMUSG00000031375	biglycan	NM_001411776
Slpi	ENSMUSG00000017002	secretory leukocyte peptidase inhibitor	NM_001412601
Kiss1	ENSMUSG00000116158	KiSS-1 metastasis-suppressor	NM_001412624
Pkdcc	ENSMUSG00000024247	"protein kinase domain containing, cytoplasmic"	NM_001414243
Klk12	ENSMUSG00000044430	kallikrein related-peptidase 12	NM_001415883
Agt	ENSMUSG00000031980	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	NM_001416312
Gnrh1	ENSMUSG00000015812	gonadotropin releasing hormone 1	NM_001416514
Pzp	ENSMUSG00000030359	"PZP, alpha-2-macroglobulin like"	NM_007376
Apoc4	ENSMUSG00000074336	apolipoprotein C-IV	NM_007385
Afp	ENSMUSG00000054932	alpha fetoprotein	NM_007423
Angpt2	ENSMUSG00000031465	angiopoietin 2	NM_007426
Ambp	ENSMUSG00000028356	alpha 1 microglobulin/bikunin precursor	NM_007443
Amh	ENSMUSG00000035262	anti-Mullerian hormone	NM_007445
Apoa4	ENSMUSG00000032080	apolipoprotein A-IV	NM_007468
Bmp2	ENSMUSG00000027358	bone morphogenetic protein 2	NM_007553
Bmp5	ENSMUSG00000032179	bone morphogenetic protein 5	NM_007555
Bmp6	ENSMUSG00000039004	bone morphogenetic protein 6	NM_007556
Bmp7	ENSMUSG00000008999	bone morphogenetic protein 7	NM_007557
Bmp8b	ENSMUSG00000002384	bone morphogenetic protein 8b	NM_007559
C1qa	ENSMUSG00000036887	"complement component 1, q subcomponent, alpha polypeptide"	NM_007572
C1qbp	ENSMUSG00000018446	"complement component 1, q subcomponent binding protein"	NM_007573
C1qc	ENSMUSG00000036896	"complement component 1, q subcomponent, C chain"	NM_007574
Serpina6	ENSMUSG00000060807	"serine (or cysteine) peptidase inhibitor, clade A, member 6"	NM_007618
Cfc1	ENSMUSG00000026124	"cripto, FRL-1, cryptic family 1"	NM_007685
Chad	ENSMUSG00000039084	chondroadherin	NM_007689
Ovgp1	ENSMUSG00000074340	oviductal glycoprotein 1	NM_007696
Col11a1	ENSMUSG00000027966	"collagen, type XI, alpha 1"	NM_007729
Col19a1	ENSMUSG00000026141	"collagen, type XIX, alpha 1"	NM_007733
Col4a3	ENSMUSG00000079465	"collagen, type IV, alpha 3"	NM_007734
Col4a4	ENSMUSG00000067158	"collagen, type IV, alpha 4"	NM_007735
Col5a2	ENSMUSG00000026042	"collagen, type V, alpha 2"	NM_007737
Col7a1	ENSMUSG00000025650	"collagen, type VII, alpha 1"	NM_007738
Col8a1	ENSMUSG00000068196	"collagen, type VIII, alpha 1"	NM_007739
Col9a2	ENSMUSG00000028626	"collagen, type IX, alpha 2"	NM_007741
Col1a1	ENSMUSG00000001506	"collagen, type I, alpha 1"	NM_007742
Col1a2	ENSMUSG00000029661	"collagen, type I, alpha 2"	NM_007743
Cort	ENSMUSG00000028971	cortistatin	NM_007745
Cpa3	ENSMUSG00000001865	"carboxypeptidase A3, mast cell"	NM_007753
Crp	ENSMUSG00000037942	"C-reactive protein, pentraxin-related"	NM_007768
Ncan	ENSMUSG00000002341	neurocan	NM_007789
Ctsb	ENSMUSG00000021939	cathepsin B	NM_007798
Defb1	ENSMUSG00000044748	defensin beta 1	NM_007843
Defa3	ENSMUSG00000074440	"defensin, alpha, 3"	NM_007850
Defa5	ENSMUSG00000074439	"defensin, alpha, 5"	NM_007851
Defa6	NA	"defensin, alpha, 6"	NM_007852
Dhh	ENSMUSG00000023000	desert hedgehog	NM_007857
Dnase1l3	ENSMUSG00000025279	deoxyribonuclease 1-like 3	NM_007870
Edn2	ENSMUSG00000028635	endothelin 2	NM_007902
Edn3	ENSMUSG00000027524	endothelin 3	NM_007903
Cela2a	ENSMUSG00000058579	"chymotrypsin-like elastase family, member 2A"	NM_007919
Eln	ENSMUSG00000029675	elastin	NM_007925
F5	ENSMUSG00000026579	coagulation factor V	NM_007976
Fap	ENSMUSG00000000392	fibroblast activation protein	NM_007986
Fbn1	ENSMUSG00000027204	fibrillin 1	NM_007993
Fgf10	ENSMUSG00000021732	fibroblast growth factor 10	NM_008002
Fgf18	ENSMUSG00000057967	fibroblast growth factor 18	NM_008005
Fgf2	ENSMUSG00000037225	fibroblast growth factor 2	NM_008006
Fgf3	ENSMUSG00000031074	fibroblast growth factor 3	NM_008007
Fgf7	ENSMUSG00000027208	fibroblast growth factor 7	NM_008008
Fgl2	ENSMUSG00000039899	fibrinogen-like protein 2	NM_008013
Fshb	ENSMUSG00000027120	follicle stimulating hormone beta	NM_008045
Fstl1	ENSMUSG00000022816	follistatin-like 1	NM_008047
Gc	ENSMUSG00000035540	vitamin D binding protein	NM_008096
Gcg	ENSMUSG00000000394	glucagon	NM_008100
Gdf3	ENSMUSG00000030117	growth differentiation factor 3	NM_008108
Gdf5	ENSMUSG00000038259	growth differentiation factor 5	NM_008109
Gdf9	ENSMUSG00000018238	growth differentiation factor 9	NM_008110
Cblif	ENSMUSG00000024682	cobalamin binding intrinsic factor	NM_008118
Gip	ENSMUSG00000014351	gastric inhibitory polypeptide	NM_008119
Gpld1	ENSMUSG00000021340	glycosylphosphatidylinositol specific phospholipase D1	NM_008156
Grn	ENSMUSG00000034708	granulin	NM_008175
Cxcl1	ENSMUSG00000029380	chemokine (C-X-C motif) ligand 1	NM_008176
Guca2a	ENSMUSG00000023247	guanylate cyclase activator 2a (guanylin)	NM_008190
Guca2b	ENSMUSG00000032978	guanylate cyclase activator 2b (retina)	NM_008191
Gzmk	ENSMUSG00000042385	granzyme K	NM_008196
Mst1	ENSMUSG00000032591	macrophage stimulating 1 (hepatocyte growth factor-like)	NM_008243
Hspg2	ENSMUSG00000028763	perlecan (heparan sulfate proteoglycan 2)	NM_008305
Ibsp	ENSMUSG00000029306	integrin binding sialoprotein	NM_008318
Ifna7	ENSMUSG00000100713	interferon alpha 7	NM_008334
Ifng	ENSMUSG00000055170	interferon gamma	NM_008337
Igfbp1	ENSMUSG00000020429	insulin-like growth factor binding protein 1	NM_008341
Igfbp3	ENSMUSG00000020427	insulin-like growth factor binding protein 3	NM_008343
Igfbp6	ENSMUSG00000023046	insulin-like growth factor binding protein 6	NM_008344
Il13	ENSMUSG00000020383	interleukin 13	NM_008355
Il1b	ENSMUSG00000027398	interleukin 1 beta	NM_008361
Il2	ENSMUSG00000027720	interleukin 2	NM_008366
Il9	ENSMUSG00000021538	interleukin 9	NM_008373
Inhba	ENSMUSG00000041324	inhibin beta-A	NM_008380
Inhbb	ENSMUSG00000037035	inhibin beta-B	NM_008381
Inhbe	ENSMUSG00000047492	inhibin beta-E	NM_008382
Itih3	ENSMUSG00000006522	"inter-alpha trypsin inhibitor, heavy chain 3"	NM_008407
Napsa	ENSMUSG00000002204	napsin A aspartic peptidase	NM_008437
Kera	ENSMUSG00000019932	keratocan	NM_008438
Klkb1	ENSMUSG00000109764	"kallikrein B, plasma 1"	NM_008455
Lama1	ENSMUSG00000032796	"laminin, alpha 1"	NM_008480
Lama2	ENSMUSG00000019899	"laminin, alpha 2"	NM_008481
Lamb1	ENSMUSG00000002900	laminin B1	NM_008482
Lamc2	ENSMUSG00000026479	"laminin, gamma 2"	NM_008485
Lbp	ENSMUSG00000016024	lipopolysaccharide binding protein	NM_008489
Lcat	ENSMUSG00000035237	lecithin cholesterol acyltransferase	NM_008490
Lcn2	ENSMUSG00000026822	lipocalin 2	NM_008491
Lep	ENSMUSG00000059201	leptin	NM_008493
Lgals1	ENSMUSG00000068220	"lectin, galactose binding, soluble 1"	NM_008495
Lhb	ENSMUSG00000100916	luteinizing hormone beta	NM_008497
Lpl	ENSMUSG00000015568	lipoprotein lipase	NM_008509
Xcl1	ENSMUSG00000026573	chemokine (C motif) ligand 1	NM_008510
Ltbp3	ENSMUSG00000024940	latent transforming growth factor beta binding protein 3	NM_008520
Ltf	ENSMUSG00000032496	lactotransferrin	NM_008522
Lum	ENSMUSG00000036446	lumican	NM_008524
Man2b2	ENSMUSG00000029119	"mannosidase 2, alpha B2"	NM_008550
Mgp	ENSMUSG00000030218	matrix Gla protein	NM_008597
Cxcl9	ENSMUSG00000029417	chemokine (C-X-C motif) ligand 9	NM_008599
Mmp13	ENSMUSG00000050578	matrix metallopeptidase 13	NM_008607
Mmp2	ENSMUSG00000031740	matrix metallopeptidase 2	NM_008610
Mmp8	ENSMUSG00000005800	matrix metallopeptidase 8	NM_008611
Nbl1	ENSMUSG00000041120	"NBL1, DAN family BMP antagonist"	NM_008675
Nid2	ENSMUSG00000021806	nidogen 2	NM_008695
Nog	ENSMUSG00000048616	noggin	NM_008711
Nppa	ENSMUSG00000041616	natriuretic peptide type A	NM_008725
Nptx1	ENSMUSG00000025582	neuronal pentraxin 1	NM_008730
Nrtn	ENSMUSG00000039481	neurturin	NM_008738
Ntn1	ENSMUSG00000020902	netrin 1	NM_008744
Nxph1	ENSMUSG00000046178	neurexophilin 1	NM_008751
Nxph2	ENSMUSG00000069132	neurexophilin 2	NM_008752
Ogn	ENSMUSG00000021390	osteoglycin	NM_008760
Orm1	ENSMUSG00000039196	orosomucoid 1	NM_008768
Pcolce	ENSMUSG00000029718	procollagen C-endopeptidase enhancer protein	NM_008788
Pcsk2	ENSMUSG00000027419	proprotein convertase subtilisin/kexin type 2	NM_008792
Cfp	ENSMUSG00000001128	complement factor properdin	NM_008823
Pip	ENSMUSG00000058499	prolactin induced protein	NM_008843
Pla2g2c	ENSMUSG00000028750	"phospholipase A2, group IIC"	NM_008868
Serpine1	ENSMUSG00000037411	"serine (or cysteine) peptidase inhibitor, clade E, member 1"	NM_008871
Plat	ENSMUSG00000031538	"plasminogen activator, tissue"	NM_008872
Plau	ENSMUSG00000021822	"plasminogen activator, urokinase"	NM_008873
Plg	ENSMUSG00000059481	plasminogen	NM_008877
Serpinf2	ENSMUSG00000038224	"serine (or cysteine) peptidase inhibitor, clade F, member 2"	NM_008878
Ppia	ENSMUSG00000071866	peptidylprolyl isomerase A	NM_008907
Ppy	ENSMUSG00000017316	pancreatic polypeptide	NM_008918
Prg2	ENSMUSG00000027073	"proteoglycan 2, bone marrow"	NM_008920
Prss12	ENSMUSG00000027978	"protease, serine 12 neurotrypsin (motopsin)"	NM_008939
Bpifa2	ENSMUSG00000042459	"BPI fold containing family A, member 2"	NM_008953
Pspn	ENSMUSG00000002664	persephin	NM_008954
Ptgds	ENSMUSG00000015090	prostaglandin D2 synthase (brain)	NM_008963
Pthlh	ENSMUSG00000048776	parathyroid hormone-like peptide	NM_008970
Ptx3	ENSMUSG00000027832	pentraxin related gene	NM_008987
Rptn	ENSMUSG00000041984	repetin	NM_009100
Clec11a	ENSMUSG00000004473	"C-type lectin domain family 11, member a"	NM_009131
Scrg1	ENSMUSG00000031610	scrapie responsive gene 1	NM_009136
Ccl22	ENSMUSG00000031779	chemokine (C-C motif) ligand 22	NM_009137
Ccl25	ENSMUSG00000023235	chemokine (C-C motif) ligand 25	NM_009138
Cxcl2	ENSMUSG00000058427	chemokine (C-X-C motif) ligand 2	NM_009140
Cxcl5	ENSMUSG00000029371	chemokine (C-X-C motif) ligand 5	NM_009141
Sfrp2	ENSMUSG00000027996	secreted frizzled-related protein 2	NM_009144
Sftpd	ENSMUSG00000021795	surfactant associated protein D	NM_009160
Scg5	ENSMUSG00000023236	secretogranin V	NM_009162
Sst	ENSMUSG00000004366	somatostatin	NM_009215
Serpine2	ENSMUSG00000026249	"serine (or cysteine) peptidase inhibitor, clade E, member 2"	NM_009255
Spink1	ENSMUSG00000024503	"serine peptidase inhibitor, Kazal type 1"	NM_009258
Mucl1	ENSMUSG00000060311	mucin-like 1	NM_009268
Stc1	ENSMUSG00000014813	stanniocalcin 1	NM_009285
Wnt8a	ENSMUSG00000012282	"wingless-type MMTV integration site family, member 8A"	NM_009290
Tff1	ENSMUSG00000024032	trefoil factor 1	NM_009362
Tff2	ENSMUSG00000024028	trefoil factor 2 (spasmolytic protein 1)	NM_009363
Tgfb3	ENSMUSG00000021253	"transforming growth factor, beta 3"	NM_009368
Tgfbi	ENSMUSG00000035493	"transforming growth factor, beta induced"	NM_009369
Tgm2	ENSMUSG00000037820	"transglutaminase 2, C polypeptide"	NM_009373
Tg	ENSMUSG00000053469	thyroglobulin	NM_009375
Tll1	ENSMUSG00000053626	tolloid-like	NM_009390
Tnfaip6	ENSMUSG00000053475	tumor necrosis factor alpha induced protein 6	NM_009398
Pglyrp1	ENSMUSG00000030413	peptidoglycan recognition protein 1	NM_009402
Trh	ENSMUSG00000005892	thyrotropin releasing hormone	NM_009426
Prss2	ENSMUSG00000057163	"protease, serine 2"	NM_009430
Prap1	ENSMUSG00000025467	proline-rich acidic protein 1	NM_009475
Vegfc	ENSMUSG00000031520	vascular endothelial growth factor C	NM_009506
Wnt3	ENSMUSG00000000125	"wingless-type MMTV integration site family, member 3"	NM_009521
Wnt3a	ENSMUSG00000009900	"wingless-type MMTV integration site family, member 3A"	NM_009522
